_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
221,aug-20,3,23,45,213,264,72,1881,872,186,566,226,31,113,126,5,24.8%
222,aug-20,8,18,32,81,43,75,697,0,697,0,0,0,5,9,25,9.2%
223,aug-20,7,48,357,334,170,448,5002,0,0,2445,2110,432,298,213,70,66.0%
224,aug-20,5,61,413,549,253,545,6093,430,700,2431,2093,439,329,346,88,80.4%
225,sep-20,1,82,385,595,522,584,7572,806,895,2988,2390,493,419,426,99,100.0%
226,sep-20,2,11,38,374,356,102,3776,377,411,1255,1399,334,248,177,43,49.9%
227,sep-20,6,19,24,64,284,50,1412,381,191,568,246,26,106,93,14,18.7%
228,sep-20,3,16,22,217,332,71,1615,803,175,476,150,11,96,117,2,21.3%
229,sep-20,8,14,43,87,47,68,713,0,713,0,0,0,8,12,18,9.4%
230,sep-20,7,52,320,291,143,445,5244,0,0,2512,2240,482,306,227,79,69.3%
231,sep-20,5,63,361,531,238,534,6160,425,704,2420,2144,467,330,355,84,81.4%
232,oct-20,1,88,431,636,444,721,7506,764,891,2904,2429,518,421,425,99,100.0%
233,oct-20,2,24,44,296,289,126,3695,301,382,1242,1416,354,247,158,42,49.2%
234,oct-20,6,22,18,49,206,71,1215,305,170,497,220,23,94,90,12,16.2%
235,oct-20,3,25,19,210,264,90,1463,735,169,412,136,11,78,110,2,19.5%
236,oct-20,8,14,33,95,38,71,720,0,720,0,0,0,10,11,22,9.6%
237,oct-20,7,49,379,331,142,560,5323,0,0,2492,2293,507,309,228,75,70.9%
238,oct-20,5,66,413,587,238,650,6291,459,721,2407,2209,495,345,360,86,83.8%
239,nov-20,1,53,486,598,405,606,7586,710,889,3001,2482,504,430,424,101,100.0%
240,nov-20,2,12,32,209,250,127,3552,238,365,1172,1429,348,242,139,45,46.8%
