_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
117,may-19,8,21,47,157,59,146,950,0,950,0,0,0,62,38,46,0.09300000000000001
118,may-19,7,57,437,539,203,814,5967,0,0,2880,2536,481,363,250,52,0.586
119,may-19,5,72,482,608,263,895,6861,524,897,2593,2380,467,397,373,85,0.674
120,jun-19,1,73,459,1057,662,960,10100,1725,1270,3909,2707,489,495,466,92,1
121,jun-19,2,15,26,436,306,121,3388,484,393,1014,1200,297,228,160,34,0.335
122,jun-19,6,16,28,554,405,118,3392,1241,352,1339,431,29,200,262,14,0.336
123,jun-19,3,12,7,365,417,71,3156,1654,272,953,262,15,168,295,2,0.312
124,jun-19,8,18,57,151,50,106,998,0,998,0,0,0,75,53,43,0.099
125,jun-19,7,43,395,541,195,783,5946,0,0,2956,2445,474,357,255,49,0.589
126,jun-19,5,57,431,503,257,842,6708,484,918,2570,2276,460,388,358,77,0.664
127,jul-19,1,63,430,1037,803,1218,9558,1657,1246,3646,2547,462,470,451,84,1
128,jul-19,2,13,35,366,318,150,3314,439,403,985,1190,297,225,146,37,0.34700000000000003
129,jul-19,6,8,29,564,582,122,3286,1187,341,1303,430,25,198,234,10,0.344
130,jul-19,3,7,22,457,565,72,3007,1586,260,894,254,13,164,266,2,0.315
131,jul-19,8,20,54,128,50,147,984,0,984,0,0,0,79,41,40,0.10300000000000001
132,jul-19,7,36,354,452,188,999,5567,0,0,2752,2293,449,327,231,44,0.5820000000000001
133,jul-19,5,55,401,473,221,1096,6272,470,905,2343,2117,437,348,340,73,0.6559999999999999
134,aug-19,1,60,434,1058,783,944,9322,1607,1220,3505,2522,468,461,443,82,1
135,aug-19,2,12,32,381,285,102,3336,425,396,1001,1212,302,226,150,36,0.358
136,aug-19,6,11,29,547,589,127,3153,1118,350,1239,420,26,185,227,9,0.33799999999999997
137,aug-19,3,3,20,467,570,35,2900,1528,258,856,246,12,157,263,2,0.311
138,aug-19,8,17,33,133,43,133,961,0,961,0,0,0,65,42,39,0.10300000000000001
139,aug-19,7,40,381,458,170,776,5461,0,0,2649,2276,456,322,221,43,0.586
140,aug-19,5,49,405,511,194,817,6169,489,870,2266,2102,442,345,332,72,0.662
141,sep-19,1,81,403,1115,834,898,9141,1559,1256,3380,2482,464,456,441,76,1
142,sep-19,2,14,36,408,303,161,3299,423,398,989,1200,289,221,148,36,0.361
143,sep-19,6,21,29,636,615,126,3094,1057,380,1205,423,29,182,219,9,0.33799999999999997
144,sep-19,3,31,18,533,608,63,2817,1471,266,827,241,12,155,249,1,0.308
145,sep-19,8,15,47,133,28,116,989,0,989,0,0,0,73,55,33,0.10800000000000001
146,sep-19,7,35,338,449,198,719,5335,0,0,2553,2241,452,311,212,44,0.584
147,sep-19,5,60,374,479,219,772,6047,502,876,2175,2059,435,334,326,69,0.662
148,oct-19,1,69,498,1038,616,868,9206,1549,1219,3443,2524,471,459,440,81,1
149,oct-19,2,11,51,321,281,133,3275,407,384,967,1223,294,222,142,40,0.35600000000000004
150,oct-19,6,3,31,559,363,131,3189,1075,378,1266,442,28,191,230,10,0.34600000000000003
151,oct-19,3,6,17,424,412,80,2775,1464,244,829,227,11,153,238,1,0.301
152,oct-19,8,13,39,114,40,119,975,0,975,0,0,0,67,52,34,0.106
153,oct-19,7,50,442,500,164,669,5456,0,0,2614,2297,460,323,215,48,0.593
154,oct-19,5,66,467,479,253,737,6017,474,841,2177,2082,443,338,316,71,0.654
155,nov-19,1,82,658,1036,632,812,9457,1475,1185,3646,2658,493,468,442,86,1
156,nov-19,2,12,68,379,237,138,3320,390,390,1019,1222,299,227,144,40,0.35100000000000003
157,nov-19,6,21,43,463,448,126,3133,1021,359,1277,452,24,183,226,9,0.331
158,nov-19,3,20,16,346,446,69,2638,1395,226,796,211,10,139,228,1,0.27899999999999997
159,nov-19,8,11,48,104,29,137,957,0,957,0,0,0,67,43,32,0.10099999999999999
160,nov-19,7,51,594,586,157,606,5862,0,0,2850,2447,483,349,248,55,0.62
161,nov-19,5,61,615,573,184,686,6324,454,826,2369,2206,469,358,330,76,0.669
162,dec-19,1,77,603,1152,584,732,9914,1480,1216,3887,2815,516,489,459,93,1
163,dec-19,2,15,49,413,207,113,3459,396,418,1081,1260,304,231,158,41,0.349
164,dec-19,6,20,31,584,427,107,3229,1034,377,1321,472,25,189,245,10,0.326
165,dec-19,3,14,14,455,387,71,2661,1401,232,800,218,10,137,235,1,0.268
166,dec-19,8,15,53,107,30,102,983,0,983,0,0,0,75,49,35,0.099
167,dec-19,7,48,536,590,167,559,6270,0,0,3087,2597,506,381,289,59,0.632
168,dec-19,5,57,572,568,157,625,6685,446,839,2566,2343,491,389,348,82,0.674
169,jan-20,1,64,487,901,567,845,9916,1440,1227,3893,2852,504,488,460,89,1
170,jan-20,2,12,47,412,225,133,3471,429,432,1096,1205,307,232,159,39,0.35
171,jan-20,6,15,25,407,392,107,2941,969,341,1177,427,27,174,220,9,0.297
172,jan-20,3,15,10,345,380,75,2706,1438,238,790,231,9,141,248,1,0.273
173,jan-20,8,8,46,103,27,96,987,0,987,0,0,0,74,51,36,0.1
174,jan-20,7,41,431,453,160,674,6223,0,0,3103,2621,495,378,283,54,0.628
175,jan-20,5,49,462,494,175,738,6975,471,886,2716,2425,477,410,376,79,0.703
176,feb-20,1,76,512,959,601,968,9834,1434,1185,3909,2795,511,484,456,97,1
177,feb-20,2,13,28,398,287,144,3412,405,435,1029,1251,309,230,147,40,0.34700000000000003
178,feb-20,6,19,28,422,394,107,2902,961,334,1174,407,26,172,218,7,0.295
179,feb-20,3,21,19,415,425,49,2686,1434,226,798,219,9,136,243,1,0.273
180,feb-20,8,4,48,90,41,114,957,0,957,0,0,0,64,46,33,0.09699999999999999
181,feb-20,7,51,445,454,135,805,6191,0,0,3111,2576,502,375,278,64,0.63
182,feb-20,5,57,484,537,207,861,6932,473,851,2735,2388,485,408,368,90,0.705
183,mar-20,1,89,479,900,660,891,9680,1380,1135,3854,2805,506,478,450,101,1
184,mar-20,2,12,26,457,323,140,3467,424,441,1057,1230,315,233,157,39,0.358
185,mar-20,6,28,27,329,399,85,2787,896,319,1134,412,26,169,202,7,0.28800000000000003
186,mar-20,3,27,23,370,435,46,2636,1379,230,779,238,10,146,223,1,0.272
187,mar-20,8,12,39,96,59,119,905,0,905,0,0,0,42,38,30,0.094
188,mar-20,7,50,417,434,166,726,6139,0,0,3075,2567,496,368,279,71,0.634
189,mar-20,5,61,452,571,261,806,6893,484,816,2720,2393,480,403,366,95,0.7120000000000001
190,apr-20,1,67,349,469,600,961,8935,1234,1050,3518,2644,489,454,436,91,1
191,apr-20,2,21,21,428,307,121,3467,384,454,1089,1224,317,234,149,39,0.431
192,apr-20,6,15,20,100,362,98,2452,767,282,1006,376,21,154,165,6,0.305
193,apr-20,3,17,27,187,383,61,2514,1226,223,764,278,23,138,203,4,0.312
194,apr-20,8,8,34,52,50,98,828,0,827,0,0,0,26,24,25,0.10300000000000001
195,apr-20,7,42,288,230,167,802,5593,0,0,2754,2366,466,324,237,64,0.585
196,apr-20,5,52,329,369,238,863,6483,467,768,2512,2268,468,365,345,85,0.695
197,may-20,1,57,407,390,497,1015,8207,1093,964,3151,2523,476,444,429,93,1
198,may-20,2,22,29,452,256,145,3549,393,449,1143,1239,325,235,160,38,0.43200000000000005
199,may-20,6,9,18,66,279,86,2172,684,259,861,345,23,134,131,7,0.265
200,may-20,3,15,20,123,324,69,2217,1037,193,669,284,34,128,154,5,0.27
201,may-20,8,11,28,44,29,99,769,0,769,0,0,0,16,17,23,0.094
202,may-20,7,31,359,223,144,847,5221,0,0,2482,2239,442,302,222,66,0.636
203,may-20,5,48,389,324,218,929,6035,409,705,2290,2178,453,330,323,86,0.735
204,jun-20,1,48,324,368,434,798,7668,993,889,2939,2381,466,421,424,92,1
205,jun-20,2,19,36,450,268,125,3615,414,448,1161,1260,332,236,167,36,0.47100000000000003
206,jun-20,6,12,16,43,229,93,1917,599,229,760,302,27,122,113,10,0.25
207,jun-20,3,12,29,133,266,94,2089,961,187,622,279,40,117,136,5,0.272
